Location Code,Location,Code
LOC-YYYY,Baramati,24
LOC-YYYY,Manesar,10
LOC-YYYY,ATC,107
LOC-YYYY,Ghaziabad Depot Damage,9803
LOC-YYYY,Ghaziabad Depot GIT,9802
LOC-YYYY,Ghaziabad Depot BBD,9801
LOC-YYYY,Ghaziabad Depot Store,98
LOC-YYYY,Delhi CFA In- Transit,9502
LOC-YYYY,Delhi CFA Damage/BBD,9501
LOC-YYYY,Delhi CFA FG Store,95
LOC-YYYY,Gurgaon C&F  In-Transit,9402
LOC-YYYY,Gurgaon C&F  Damage/BBD,9401
LOC-YYYY,Gurgaon C&F Depot,94
LOC-YYYY,Chennai C&F Damage,9203
LOC-YYYY,Chennai C&F In Transit,9202
LOC-YYYY,Chennai C&F BBD,9201
LOC-YYYY,Chennai C&F FG Store,92
LOC-YYYY,Mundka CFA Damage,9003
LOC-YYYY,Mundka CFA In- Transit,9002
LOC-YYYY,Mundka CFA BBD,9001
LOC-YYYY,Mundka CFA FG Store,90
LOC-YYYY,Chhajed Foods QA Receiving,8505
LOC-YYYY,Chhajed Foods In Transit,8502
LOC-YYYY,Chhajed Foods Damage/BBD,8501
LOC-YYYY,Chhajed Foods Pvt Ltd,85
LOC-YYYY,RAMDEV FOOD QA Receiving,8405
LOC-YYYY,RAMDEV FOOD In Transit,8402
LOC-YYYY,RAMDEV FOOD Damage/BBD,8401
LOC-YYYY,RAMDEV FOOD FG Store,84
LOC-YYYY,Naturo FFP  QA Receiving,8005
LOC-YYYY,Naturo FFP In Transit,8002
LOC-YYYY,Naturo FFP Damage/BBD,8001
LOC-YYYY,Naturo FFP FG Store,80
LOC-YYYY,Punjab C&F Damage,7903
LOC-YYYY,Punjab C&F In-Transit,7902
LOC-YYYY,Punjab C&F BBD,7901
LOC-YYYY,Punjab C&F Depot Store,79
LOC-YYYY,Calcutta Depot Damage,7703
LOC-YYYY,Calcutta Depot GIT,7702
LOC-YYYY,Calcutta Depot BBD,7701
LOC-YYYY,Calcutta Depot Store,77
LOC-YYYY,Ahmedabad Depot Damage,7603
LOC-YYYY,Ahmedabad Depot GIT,7602
LOC-YYYY,Ahmedabad Depot BBD,7601
LOC-YYYY,Ahmedabad Depot Store,76
LOC-YYYY,Indore Depot GIT,7302
LOC-YYYY,Indore Depot BBD,7301
LOC-YYYY,Indore Depot Store,73
LOC-YYYY,Jaipur Depot GIT,7202
LOC-YYYY,Jaipur Depot BBD,7201
LOC-YYYY,Jaipur Depot Store,72
LOC-YYYY,PUNE DEPOT GIT,5702
LOC-YYYY,Pune Depot Damage/BBD,5701
LOC-YYYY,Pune Depot FG Store,57
LOC-YYYY,PUNE C&F Damage,5603
LOC-YYYY,PUNE C&F In-Transit,5602
LOC-YYYY,PUNE C&F BBD,5601
LOC-YYYY,PUNE C&F FG Store,56
LOC-YYYY,BANGALORE CFA Damage,5003
LOC-YYYY,BANGALORE CFA In Transit,5002
LOC-YYYY,BANGALORE CFA BBD,5001
LOC-YYYY,BANGALORE CFA FG STORE,50
LOC-YYYY,Manesar New WH QA Receving,4705
LOC-YYYY,Manesar New WH  In-Tranist,4702
LOC-YYYY,Manesar New WH Damage/BBD,4701
LOC-YYYY,Manesar New WH FG Store,47
LOC-YYYY,Manesar-2 QA Receiving,4605
LOC-YYYY,Manesar-2 Depot In Transit,4602
LOC-YYYY,Manesar-2 Depot Damage/BBD,4601
LOC-YYYY,Manesar-2 Depot Store,46
LOC-YYYY,Gurgaon-2 QA Receving,4105
LOC-YYYY,Gurgaon-2 Depot In Transit,4102
LOC-YYYY,Gurgaon-2 Depot Damage/BBD,4101
LOC-YYYY,Gurgaon-2 Depot Store,41
LOC-YYYY,Jigani C&F FA Damage,3703
LOC-YYYY,Jigani C&F FA In Transit,3702
LOC-YYYY,Jigani C&F FA BBD,3701
LOC-YYYY,Jigani C&F FA Store,37
LOC-YYYY,Hyderabad C&F Damage,3103
LOC-YYYY,Hyderabad C&F  InTransit,3102
LOC-YYYY,Hyderabad C&F BBD,3101
LOC-YYYY,Hyderabad C&F FG Store,31
LOC-YYYY,BTC Depot In Transit,2502
LOC-YYYY,BTC Depot Damage/BBD,2501
LOC-YYYY,BTC Depot Store,25
LOC-YYYY,Baramati Scrap Store,2413
LOC-YYYY,Baramati Utilities,2412
LOC-YYYY,Baramati Spouting,2411
LOC-YYYY,Baramati Production,2410
LOC-YYYY,Baramati Beverage Process,2409
LOC-YYYY,Baramati Conc Unitization,2408
LOC-YYYY,Baramati QA Reject Materials,2407
LOC-YYYY,Baramati Materials Store,2406
LOC-YYYY,Baramati QA Receiving,2405
LOC-YYYY,Baramati QA Pre-dispatch,2404
LOC-YYYY,Baramati In Transit,2402
LOC-YYYY,Baramati Damage/BBD,2401
LOC-YYYY,Hector Beverages Pvt Ltd,2202
LOC-YYYY,Hector Beverages Pvt Ltd,22
LOC-YYYY,Mysore Nonstock Item Location,1120
LOC-YYYY,Mysore Old store,1116
LOC-YYYY,Mysore concentrate,1114
LOC-YYYY,Mysore Scrap Store,1113
LOC-YYYY,Mysore Utilities,1112
LOC-YYYY,Mysore Spouting,1111
LOC-YYYY,Mysore Production,1110
LOC-YYYY,Mysore Beverage Process,1109
LOC-YYYY,Mysore Conc Unitization,1108
LOC-YYYY,Mysore QA Reject Materials,1107
LOC-YYYY,Mysore Materials Store,1106
LOC-YYYY,Mysore QA Receiving,1105
LOC-YYYY,Mysore QA Pre-dispatch,1104
LOC-YYYY,Mysore In Transit,1102
LOC-YYYY,Mysore Damage/BBD,1101
LOC-YYYY,Mysore FG Store,11
LOC-YYYY,Mysore concentrate Conc Unitization,10608
LOC-YYYY,Mysore concentrate QA Reject Materials,10607
LOC-YYYY,Mysore concentrate Materials Store,10606
LOC-YYYY,Mysore concentrate QA Receiving,10605
LOC-YYYY,Mysore concentrate QA Pre-dispatch,10604
LOC-YYYY,Mysore concentrate In Transit,10602
LOC-YYYY,Mysore concentrate Damage/BBD,10601
LOC-YYYY,Mysore concentrate Plant,106
LOC-YYYY,Medak- C&F  InTransit,10502
LOC-YYYY,Medak C&F Damage/BBD,10501
LOC-YYYY,Medak C&F FG Store,105
LOC-YYYY,Patancheru C&F  InTransit,10402
LOC-YYYY,Patancheru C&F Damage/BBD,10401
LOC-YYYY,Patancheru C&F FG Store,104
LOC-YYYY,Fazilaka - QA Receiving,10305
LOC-YYYY,Fazilaka - C&F  InTransit,10302
LOC-YYYY,Fazilaka -C&F Damage/BBD,10301
LOC-YYYY,Fazilaka - C&F FG Store,103
LOC-YYYY,Varanasi C&F  InTransit,10202
LOC-YYYY,Varanasi C&F Damage/BBD,10201
LOC-YYYY,Varanasi-C&F,102
LOC-YYYY,Manesar Old stock,1016
LOC-YYYY,Manesar Mewat FG Store,1015
LOC-YYYY,Manesar Mewat Cold Store,1014
LOC-YYYY,Manesar Scrap Store,1013
LOC-YYYY,Manesar Utilities,1012
LOC-YYYY,Manesar Spouting,1011
LOC-YYYY,Aurangabad C&F  InTransit,10102
LOC-YYYY,Aurangabad C&F Damage/BBD,10101
LOC-YYYY,Manesar Production,1010
LOC-YYYY,Aurangabad -C&F FG Store,101
LOC-YYYY,Manesar Beverage Process,1009
LOC-YYYY,Manesar Conc Unitization,1008
LOC-YYYY,Manesar QA Reject Materials,1007
LOC-YYYY,Manesar Materials Store,1006
LOC-YYYY,Manesar QA Receiving,1005
LOC-YYYY,Manesar QA Pre-dispatch,1004
LOC-YYYY,Manesar In Transit,1002
LOC-YYYY,Manesar Damage/BBD,1001
LOC-YYYY,Mumbai Depot Damage,10003
LOC-YYYY,Mumbai Depot GIT,10002
LOC-YYYY,Mumbai Depot BBD,10001
LOC-YYYY,Mumbai Depot Store,100
LOC-YYYY,Wazirpur,0
LOC-YYYY,Delhi,0
LOC-YYYY,Varanasi,0
LOC-YYYY,Fazika,0
LOC-YYYY,Chennai,0
LOC-YYYY,Mysore,0
LOC-YYYY,Bangalore,0
LOC-YYYY,Aurangabad,0
LOC-YYYY,Hyderabad,0
LOC-YYYY,Gujarat,0
LOC-YYYY,Pune,0
LOC-YYYY,Mumbai,0
